year,toem,neem,ener
1990,292105.06,254169.92,240294.48
1991,315352.61,281397.38,258113.19
1992,343354.15,310227.72,278995.63
1993,378545.97,347006.06,308499.81
1994,403568.61,369647.95,327799.68
1995,433787.92,401638.59,352000.68
1996,470280.3,434444.51,385582.11
1997,501912.25,461309.7,411617.53
1998,431434.46,382516.39,351493.31
1999,469414.83,412346.65,382112.78
2000,502730.45,442646.65,411584.71
2001,516008.72,456481.21,425928.63
2002,538458.07,481113.27,445254.63
2003,548808.43,491949.87,452962.46
2004,557058.76,498793.13,460070.58
2005,561521.94,505212.55,469372.52
2006,567057.02,509621.21,474784.84
2007,580468.84,522355.32,492405.07
2008,594047.09,535012.9,506555.01
2009,598040.34,539202.54,513041.75
2010,656119.74,600041.42,565692.09
2011,684756.04,629525.21,594655.34
2012,688043.7,638791.01,596004.83
2013,697297.56,652281.49,604527.3
2014,692088.95,646222.89,596947.88
2015,692626.49,646065.71,600265.91
2016,693687.73,646753.5,602228.3
2017,710645.38,668956.86,615644.74
2018,726977.59,686643.21,632629.48
2019,701213.74,663503.57,611567.39
2020,656222.88,618347,569917.43
