num,water_use
1,1287
2,0
3,1219
4,0
5,1434
6,0
7,1506
8,0
9,1754
10,0
11,1362
12,0
13,1330
14,0
15,1146
16,0
17,1467
18,0
19,688
20,646
21,1085
22,1980
23,887
24,899
25,899
26,820
27,878
28,733
29,825
30,1317
31,1062
32,1086
33,1128
34,1043
35,820
36,895
37,805
38,793
39,664
40,779
41,851
42,930
43,1031
44,1042
45,1146
46,860
47,766
48,854
49,705
50,710
51,807
52,638
53,1034
54,577
55,931
56,1319
57,1271
58,813
59,603
60,921
61,672
62,662
63,734
64,645
65,809
66,849
67,704
68,1120
69,1542
70,1072
71,665
72,965
73,694
74,751
75,749
76,728
77,904
78,906
79,1018
80,943
81,1547
82,971
83,919
84,817
85,728
86,726
87,735
88,782
89,715
90,726
91,902
92,1395
93,1109
94,1302
95,622
96,798
97,932
98,707
99,740
100,583
101,769
102,605
103,963
104,1012
105,1556
106,826
107,595
108,842
109,651
110,730
111,624
112,571
113,611
114,637
115,777
116,1211
117,1039
118,794
119,646
120,569
121,769
122,692
123,639
124,535
125,674
126,689
127,752
128,817
129,838
130,793
131,574
132,803
133,678
134,582
