num,elec_use
1,341532
2,315702
3,258552
4,222462
5,184683
6,182246
7,207365
8,227452
9,203422
10,166448
11,179901
12,241682
13,277042
14,280183
15,206124
16,195545
17,180666
18,202260
19,259344
20,171720
21,314712
22,265248
23,285621
24,393441
25,351213
26,278205
27,267585
28,227182
29,228885
30,260529
31,307905
32,326337
33,217005
34,215673
35,224745
36,296529
37,322989
38,276981
39,249081
40,191387
41,205251
42,264560
43,317915
44,375863
45,220191
46,211099
47,244389
48,294772
49,331220
50,291620
51,276031
52,217710
53,219999
54,266510
55,379670
56,363098
57,248840
58,204194
59,262255
60,330526
61,395240
62,330387
63,255539
64,200230
65,204664
66,232296
67,382585
68,393663
69,232265
70,212681
71,255874
72,329163
73,356423
74,295690
75,262389
76,236506
77,208475
78,223484
79,331318
80,367297
81,242867
82,203440
83,236690
84,325505
85,318341
86,289547
87,257927
88,214083
89,184927
90,261985
91,284739
92,367326
93,238201
94,194865
95,237457
96,342940
97,380371
98,285428
99,254962
100,207950
101,196146
102,246560
103,359821
104,338519
105,221121
106,203496
107,233833
108,325261
109,361239
110,330894
111,248099
112,202519
113,207394
114,269569
115,357431
116,342122
117,226238
118,202069
119,213061
120,348009
121,330773
122,271726
123,220324
124,200079
125,216705
126,234478
127,304980
128,348223
129,235201
130,190552
131,216338
132,281571
133,314334
134,257900
